name,x_min,y_min,x_max,y_max
201711070000000199005.jpg,126,13,365,76
201711070000000200005.jpg,123,10,531,65
201711070000000201005.jpg,143,20,622,80
201711070000000202005.jpg,123,20,344,78
201711070000000203005.jpg,125,10,469,73
201711070000000204005.jpg,125,11,599,71
201711070000000205005.jpg,128,8,532,65
201711070000000206005.jpg,125,6,494,65
201711070000000207005.jpg,126,3,536,60
201711070000000208005.jpg,165,8,686,71
201711070000000209005.jpg,123,13,367,78
201711070000000215005.jpg,128,15,490,73
201711070000000216005.jpg,123,15,367,73
201711070000000219005.jpg,123,20,577,80
201711070000000220005.jpg,123,20,534,81
201711070000000221005.jpg,126,20,537,80
201711070000000222005.jpg,113,20,549,78
201711070000000232005.jpg,123,11,470,75
201711070000000234005.jpg,131,21,424,66
201711070000000238005.jpg,125,11,424,76
201711070000000243005.jpg,110,21,447,78
201711070000000255005.jpg,146,10,337,70
201711070000000256005.jpg,110,15,788,83
201711070000000257005.jpg,130,15,534,75
201711070000000258005.jpg,150,30,445,78
201711070000000259005.jpg,125,16,470,76
201711070000000260005.jpg,101,16,260,73
201711070000000262005.jpg,105,20,297,73
201711070000000263005.jpg,123,16,342,70
201711070000000264005.jpg,106,21,322,80
201711070000000265005.jpg,108,16,422,73
201711070000000266005.jpg,121,18,389,71
201711070000000267005.jpg,103,20,449,76
201711070000000268005.jpg,719,11,794,68
201711070000000268005.jpg,121,18,282,70
201711070000000269005.jpg,110,21,402,65
201711070000000270005.jpg,123,16,342,65
201711070000000271005.jpg,108,21,404,68
201711070000000272005.jpg,108,10,534,70
201711070000000273005.jpg,121,18,367,71
201711070000000274005.jpg,123,18,450,73
201711070000000275005.jpg,125,16,318,71
201711070000000277005.jpg,108,20,300,73
201711070000000278005.jpg,123,20,282,71
201711070000000279005.jpg,105,10,465,63
201711070000000280005.jpg,130,18,470,75
201711070000000281005.jpg,108,30,213,83
201711070000000282005.jpg,110,16,272,73
201711070000000283005.jpg,126,25,320,76
201711070000000284005.jpg,123,28,364,76
201711070000000285005.jpg,106,10,576,73
201711070000000286005.jpg,123,18,237,71
201711070000000287005.jpg,121,20,495,76
201711070000000288005.jpg,126,21,410,86
201711070000000289005.jpg,103,21,230,73
201711070000000290005.jpg,103,21,320,76
201711070000000292005.jpg,108,11,360,73
201711070000000293005.jpg,103,21,322,75
201711070000000294005.jpg,126,20,469,80
201711070000000295005.jpg,111,23,384,80
201711070000000296005.jpg,131,21,572,76
201711070000000297005.jpg,123,16,385,80
201711070000000297005.jpg,572,15,729,60
201711070000000298005.jpg,123,26,474,76
201711070000000299005.jpg,108,16,552,75
201711070000000300005.jpg,123,26,469,78
201711070000000301005.jpg,379,25,474,65
201711070000000302005.jpg,121,16,365,76
201711070000000303005.jpg,111,26,359,78
201711070000000304005.jpg,103,13,342,66
201711070000000305005.jpg,165,26,280,80
201711070000000307005.jpg,126,21,344,75
201711070000000308005.jpg,125,16,402,71
201711070000000309005.jpg,106,20,295,73
201711070000000310005.jpg,108,15,450,80
201711070000000311005.jpg,130,25,507,76
201711070000000312005.jpg,108,11,576,73
201711070000000313005.jpg,108,20,492,75
201711070000000314005.jpg,130,16,639,76
201711070000000315005.jpg,121,16,432,76
201711070000000316005.jpg,125,23,557,75
201711070000000317005.jpg,125,21,509,75
201711070000000319005.jpg,121,23,452,73
201711070000000321005.jpg,123,16,382,73
201711070000000322005.jpg,125,18,342,76
201711070000000326005.jpg,121,28,410,78
201711070000000331005.jpg,110,25,364,81
201711070000000332005.jpg,110,23,228,73
201711070000000333005.jpg,111,25,337,78
201711070000000336005.jpg,148,18,701,70
201711070000000337005.jpg,113,18,379,80
201711070000000338005.jpg,110,15,400,71
201711070000000339005.jpg,110,18,492,78
201711070000000340005.jpg,106,10,322,68
201711070000000341005.jpg,636,30,773,75
201711070000000341005.jpg,121,28,240,93
201711070000000342005.jpg,130,28,360,86
201711070000000345005.jpg,123,23,662,78
201711070000000346005.jpg,108,35,579,83
201711070000000347005.jpg,111,16,337,73
201711070000000349005.jpg,113,21,549,80
201711070000000350005.jpg,127,26,554,57
201711070000000351005.jpg,123,20,688,76
201711070000000352005.jpg,103,16,385,80
201711070000000353005.jpg,145,16,492,75
201711070000000354005.jpg,123,16,282,83
201711070000000355005.jpg,125,28,425,78
201711070000000356005.jpg,127,26,554,57
201711070000000357005.jpg,111,21,424,78
201711070000000358005.jpg,108,15,364,78
201711070000000359005.jpg,123,21,602,80
201711070000000361005.jpg,123,18,364,81
201711070000000362005.jpg,113,20,357,73
201711070000000363005.jpg,121,18,409,80
201711070000000365005.jpg,126,18,429,75
201711070000000366005.jpg,143,21,344,83
201711070000000367005.jpg,108,13,407,73
201711070000000368005.jpg,128,13,469,75
201711070000000369005.jpg,125,30,440,70
201711070000000370005.jpg,111,23,487,83
201711070000000371005.jpg,143,15,302,65
201711070000000372005.jpg,123,13,318,70
201711070000000373005.jpg,145,11,260,60
201711070000000374005.jpg,123,11,731,75
201711070000000375005.jpg,108,28,577,81
201711070000000376005.jpg,110,21,300,76
201711070000000377005.jpg,123,26,517,76
201711070000000378005.jpg,130,16,444,73
201711070000000380005.jpg,110,20,322,76
201711070000000381005.jpg,108,20,340,80
201711070000000382005.jpg,145,18,362,75
201711070000000383005.jpg,143,23,490,78
201711070000000384005.jpg,121,28,751,95
201711070000000385005.jpg,125,23,617,88
201711070000000386005.jpg,121,10,474,70
201711070000000387005.jpg,123,10,557,70
201711070000000388005.jpg,125,13,536,71
201711070000000389005.jpg,146,33,417,65
201711070000000393005.jpg,121,28,410,80
201711070000000395005.jpg,105,13,494,78
201711070000000423001.jpg,126,20,490,76
201711070000000428001.jpg,128,21,364,71
201711070000000446005.jpg,127,26,554,57
201711070000000447005.jpg,126,16,472,78
201711070000000449005.jpg,125,15,574,73
201711070000000451005.jpg,123,16,517,78
201711070000000452001.jpg,123,23,432,78
201711070000000453005.jpg,130,18,577,78
201711070000000454001.jpg,123,20,410,73
201711070000000457005.jpg,126,18,577,75
201711070000000458005.jpg,143,18,686,75
201711070000000461005.jpg,128,13,444,73
201711070000000462005.jpg,130,25,342,75
201711070000000466005.jpg,131,20,318,61
201711070000000467005.jpg,108,16,536,73
201711070000000468005.jpg,130,21,317,63
201711070000000470005.jpg,125,16,382,78
201711070000000471005.jpg,126,18,300,86
201711070000000472005.jpg,121,18,367,78
201711070000000473005.jpg,113,15,399,78
201711070000000474005.jpg,123,13,364,75
201711070000000475005.jpg,123,18,235,66
201711070000000476005.jpg,121,16,282,70
201711070000000477005.jpg,123,15,367,70
201711070000000478005.jpg,128,15,293,66
201711070000000479005.jpg,128,18,536,78
201711070000000480005.jpg,106,20,322,76
201711070000000481005.jpg,125,15,424,71
201711070000000482005.jpg,125,16,551,78
201711070000000483005.jpg,126,16,574,76
201711070000000485005.jpg,105,15,322,78
201711070000000486005.jpg,106,21,237,80
201711070000000487005.jpg,121,13,474,70
201711070000000488005.jpg,123,18,258,76
201711070000000489005.jpg,123,16,344,70
201711070000000490005.jpg,126,13,472,65
201711070000000491005.jpg,125,23,275,68
201711070000000492005.jpg,125,16,537,75
201711070000000493005.jpg,126,18,509,75
201711070000000494005.jpg,121,11,452,73
201711070000000495005.jpg,125,13,402,73
201711070000000496005.jpg,123,11,427,73
201711070000000498005.jpg,110,20,342,78
201711070000000499005.jpg,125,23,275,78
201711070000000501005.jpg,126,18,380,78
201711070000000502005.jpg,163,11,539,81
201711070000000503005.jpg,130,18,338,76
201711070000000505005.jpg,128,10,507,73
201711070000000509005.jpg,130,18,599,71
201711070000000510005.jpg,126,23,422,80
201711070000000511005.jpg,145,15,619,75
201711070000000512005.jpg,128,23,277,80
201711070000000513005.jpg,123,30,432,75
201711070000000514005.jpg,146,15,338,73
201711070000000518005.jpg,143,15,303,56
201711070000000519001.jpg,146,23,474,68
201711070000000520005.jpg,110,26,297,81
201711070000000521005.jpg,106,25,387,80
201711070000000523005.jpg,128,26,300,66
201711070000000524005.jpg,125,20,512,78
201711070000000525005.jpg,123,11,452,78
201711070000000526005.jpg,126,26,253,66
201711070000000527005.jpg,126,28,470,71
201711070000000528005.jpg,125,16,424,71
201711070000000529005.jpg,126,16,601,75
201711070000000532005.jpg,133,10,445,70
201711070000000533005.jpg,125,18,492,75
201711070000000534005.jpg,131,13,450,71
201711070000000535005.jpg,156,20,494,55
201711070000000536005.jpg,145,20,516,76
201711070000000537005.jpg,135,25,262,65
201711070000000538005.jpg,135,30,257,63
201711070000000540005.jpg,126,16,494,60
201711070000000541005.jpg,128,8,344,70
201711070000000542005.jpg,126,30,302,73
201711070000000543001.jpg,111,15,594,75
201711070000000544005.jpg,125,20,467,78
201711070000000545005.jpg,108,18,577,80
201711070000000546005.jpg,106,21,472,76
201711070000000547005.jpg,128,18,467,76
201711070000000548005.jpg,108,25,359,76
201711070000000549005.jpg,123,20,495,76
201711070000000550005.jpg,108,16,322,73
201711070000000551005.jpg,111,20,424,80
201711070000000552005.jpg,123,11,661,73
201711070000000553005.jpg,123,18,260,75
201711070000000555005.jpg,125,13,495,71
201711070000000556005.jpg,125,8,581,68
201711070000000558001.jpg,123,11,532,76
201711070000000561005.jpg,121,11,430,56
201711070000000562005.jpg,131,16,384,71
201711070000000563005.jpg,133,15,295,70
201711070000000564005.jpg,125,15,509,66
201711070000000565005.jpg,145,23,536,73
201711070000000566005.jpg,125,16,642,83
201711070000000567005.jpg,145,28,639,76
201711070000000568005.jpg,123,16,559,78
201711070000000569005.jpg,111,20,677,81
201711070000000570005.jpg,125,18,559,73
201711070000000571005.jpg,143,28,601,76
201711070000000276005.jpg,131,16,445,73
201711070000000291005.jpg,126,16,293,71
201711070000000306005.jpg,128,25,257,75
201711070000000324005.jpg,121,25,367,76
201711070000000348005.jpg,123,16,235,70
201711070000000364005.jpg,125,18,445,80
201711070000000379005.jpg,106,18,255,78
201711070000000445001.jpg,230,26,405,75
201711070000000469005.jpg,121,13,644,76
201711070000000484005.jpg,130,20,320,63
201711070000000500005.jpg,131,10,510,70
201711070000000522001.jpg,110,21,364,83
201711070000000539005.jpg,126,21,494,58
201711070000000573005.jpg,123,15,534,76
201711070000000574005.jpg,131,13,424,76
201711070000000575005.jpg,133,10,572,75
201711070000000576005.jpg,126,13,382,75
201711070000000577005.jpg,126,18,280,83
201711070000000578005.jpg,126,10,385,76
201711070000000579005.jpg,111,16,293,73
201711070000000580005.jpg,145,21,559,80
201711070000000581005.jpg,125,15,430,76
201711070000000582005.jpg,128,13,409,76
201711070000000583005.jpg,146,25,467,71
201711070000000584005.jpg,130,15,407,78
201711070000000585005.jpg,145,20,467,76
201711070000000586005.jpg,145,20,425,76
201711070000000588005.jpg,145,25,427,75
201711070000000589001.jpg,228,30,262,73
201711070000000590005.jpg,126,10,507,70
201711070000000591005.jpg,130,11,664,68
201711070000000592005.jpg,125,10,424,66
201711070000000593005.jpg,125,18,360,80
201711070000000594005.jpg,111,21,425,78
201711070000000595005.jpg,128,13,470,58
201711070000000596005.jpg,145,21,430,70
201711070000000597005.jpg,145,28,469,76
201711070000000598005.jpg,146,25,360,73
201711070000000599005.jpg,133,23,424,68
201711070000000600005.jpg,113,16,422,76
201711070000000601005.jpg,125,18,297,73
201711070000000603005.jpg,135,18,571,75
201711070000000604005.jpg,131,10,489,65
201711070000000605005.jpg,121,18,367,73
201711070000000606005.jpg,131,16,364,73
201711070000000607005.jpg,128,20,621,76
201711070000000608005.jpg,108,13,450,75
201711070000000609005.jpg,131,13,534,75
201711070000000610005.jpg,143,20,282,65
201711070000000611005.jpg,135,38,440,71
201711070000000612005.jpg,121,15,474,71
201711070000000613005.jpg,113,21,337,76
201711070000000614005.jpg,121,16,365,71
201711070000000616005.jpg,126,21,552,78
201711070000000619005.jpg,123,10,621,75
201711070000000621005.jpg,143,18,410,73
201711070000000622005.jpg,121,23,517,81
201711070000000623005.jpg,128,18,552,78
201711070000000624001.jpg,123,23,469,73
201711070000000625005.jpg,128,18,681,86
201711070000000626005.jpg,131,15,402,78
201711070000000627005.jpg,145,26,425,80
201711070000000628005.jpg,126,20,344,73
201711070000000629005.jpg,108,25,492,78
201711070000000630005.jpg,125,6,405,68
201711070000000632005.jpg,108,10,529,78
201711070000000633005.jpg,110,15,405,75
201711070000000634005.jpg,123,13,559,85
201711070000000635005.jpg,108,15,297,71
201711070000000637005.jpg,125,18,450,76
201711070000000638005.jpg,126,11,402,71
201711070000000639005.jpg,110,15,577,78
201711070000000640005.jpg,131,11,399,63
201711070000000641005.jpg,148,21,445,68
201711070000000642005.jpg,125,16,617,75
201711070000000643005.jpg,143,25,365,80
201711070000000644005.jpg,111,21,385,76
201711070000000645005.jpg,123,13,512,76
201711070000000646005.jpg,123,16,579,80
201711070000000647005.jpg,123,16,709,76
201711070000000648005.jpg,128,15,360,73
201711070000000649005.jpg,125,10,402,71
201711070000000650005.jpg,128,16,554,78
201711070000000653005.jpg,123,6,402,73
201711070000000658005.jpg,113,11,549,76
201711070000000659005.jpg,146,18,359,78
201711070000000660005.jpg,123,18,278,78
201711070000000661005.jpg,143,8,516,70
201711070000000662005.jpg,126,16,297,81
201711070000000663005.jpg,125,13,405,76
201711070000000668005.jpg,128,18,487,73
201711070000000669005.jpg,126,18,322,73
201711070000000670005.jpg,128,16,579,80
201711070000000671005.jpg,126,18,404,75
201711070000000672005.jpg,123,23,344,81
201711070000000673005.jpg,123,23,298,85
201711070000000674001.jpg,126,20,470,78
201711070000000676005.jpg,128,16,616,78
201711070000000677005.jpg,128,11,449,70
201711070000000678005.jpg,143,20,345,66
201711070000000679005.jpg,121,16,238,71
201711070000000680005.jpg,146,20,516,65
201711070000000681005.jpg,128,16,517,90
201711070000000682005.jpg,145,26,297,80
201711070000000683005.jpg,130,15,487,70
201711070000000684005.jpg,148,18,337,71
201711070000000685005.jpg,145,6,489,61
201711070000000686005.jpg,145,18,452,75
201711070000000687005.jpg,121,16,681,90
201711070000000688005.jpg,125,13,577,73
201711070000000689005.jpg,130,18,360,68
201711070000000701001.jpg,110,10,313,75
201711070000000705005.jpg,123,23,430,75
201711070000000706005.jpg,130,26,536,78
201711070000000707005.jpg,148,13,536,61
201711070000000708005.jpg,131,25,272,68
201711070000000709005.jpg,128,20,686,78
201711070000000710005.jpg,128,23,273,76
201711070000000711005.jpg,145,18,297,80
201711070000000714001.jpg,133,20,636,71
201711070000000715005.jpg,123,15,726,75
201711070000000717005.jpg,123,20,282,71
201711070000000718005.jpg,145,26,385,76
201711070000000719005.jpg,151,20,365,73
201711070000000720005.jpg,130,11,429,71
201711070000000723005.jpg,125,21,467,76
201711070000000724005.jpg,123,18,338,70
201711070000000725005.jpg,126,18,424,73
201711070000000726005.jpg,130,16,298,68
201711070000000727005.jpg,126,21,258,71
201711070000000728005.jpg,128,16,322,68
201711070000000729005.jpg,121,21,238,73
201711070000000730005.jpg,127,26,554,57
201711070000000731005.jpg,125,10,235,73
201711070000000732005.jpg,123,18,492,75
201711070000000733005.jpg,123,26,282,73
201711070000000735001.jpg,145,18,490,73
201711070000000736005.jpg,131,16,527,83
201711070000000737005.jpg,130,16,728,83
201711070000000739001.jpg,125,20,614,81
201711070000000741005.jpg,130,20,576,76
201711070000000742005.jpg,130,23,375,65
201711070000000743005.jpg,130,26,359,73
201711070000000744005.jpg,131,18,364,73
201711070000000745005.jpg,123,20,666,81
201711070000000746005.jpg,128,15,315,71
201711070000000747005.jpg,130,18,509,63
201711070000000748005.jpg,126,13,534,76
201711070000000749005.jpg,131,13,487,68
201711070000000750005.jpg,128,11,531,75
201711070000000751005.jpg,128,16,771,75
201711070000000752005.jpg,128,15,424,60
201711070000000753005.jpg,126,20,637,81
201711070000000755005.jpg,135,23,439,65
201711070000000756005.jpg,123,18,429,73
201711070000000757005.jpg,128,20,469,73
201711070000000758001.jpg,106,10,387,70
201711070000000759005.jpg,130,16,489,75
201711070000000760005.jpg,125,18,559,76
201711070000000762005.jpg,126,25,574,76
201711070000000764001.jpg,126,13,320,78
201711070000000767001.jpg,121,8,494,71
201711070000000771005.jpg,123,11,387,71
201711070000000772005.jpg,128,20,278,76
201711070000000773005.jpg,126,16,338,71
201711070000000774005.jpg,123,10,430,71
201711070000000774005.jpg,612,18,751,71
201711070000000775005.jpg,108,18,385,71
201711070000000777005.jpg,380,13,492,45
201711070000000778005.jpg,123,10,430,71
201711070000000779005.jpg,125,10,402,70
201711070000000780005.jpg,126,18,579,75
201711070000000781005.jpg,121,10,367,70
201711070000000782005.jpg,126,16,661,76
201711070000000783005.jpg,121,11,302,63
201711070000000784005.jpg,121,10,430,71
201711070000000785005.jpg,121,8,429,68
201711070000000786005.jpg,123,5,554,66
201711070000000787005.jpg,125,10,253,63
201711070000000788005.jpg,126,20,444,76
201711070000000789005.jpg,143,13,557,68
201711070000000790005.jpg,123,16,430,75
201711070000000794005.jpg,123,18,469,75
201711070000000795005.jpg,125,21,295,75
201711070000000796005.jpg,126,23,708,88
201711070000000797005.jpg,123,23,409,73
201711070000000798005.jpg,135,35,310,63
201711070000000799005.jpg,230,38,597,80
201711070000000800005.jpg,121,13,537,70
201711070000000801005.jpg,125,16,510,76
201711070000000802005.jpg,125,26,409,81
201711070000000803005.jpg,131,20,277,75
201711070000000804005.jpg,126,23,472,68
201711070000000806005.jpg,126,20,367,70
201711070000000807005.jpg,163,28,621,75
201711070000000808005.jpg,131,21,384,75
201711070000000810005.jpg,121,13,536,75
201711070000000811005.jpg,128,15,529,75
201711070000000812005.jpg,126,28,537,80
201711070000000813005.jpg,125,23,467,78
201711070000000813005.jpg,612,16,689,66
201711070000000814005.jpg,126,20,340,81
201711070000000817005.jpg,123,26,409,75
201711070000000818005.jpg,125,31,407,76
201711070000000820001.jpg,123,16,367,71
201711070000000821005.jpg,126,8,510,68
201711070000000824005.jpg,105,20,686,81
201711070000000825005.jpg,121,18,495,73
201711070000000826005.jpg,165,18,430,71
201711070000000827005.jpg,130,20,320,65
201711070000000828005.jpg,123,26,404,80
201711070000000572001.jpg,108,36,447,81
201711070000000587005.jpg,121,15,472,83
201711070000000602005.jpg,143,30,260,71
201711070000000620005.jpg,143,10,666,81
201711070000000636005.jpg,121,25,452,85
201711070000000651005.jpg,128,18,552,78
201711070000000675005.jpg,108,13,514,83
201711070000000700001.jpg,128,6,684,68
201711070000000722005.jpg,123,20,303,73
201711070000000738005.jpg,123,20,512,76
201711070000000754005.jpg,143,20,472,63
201711070000000776005.jpg,125,21,237,73
201711070000000792001.jpg,111,16,617,80
201711070000000831005.jpg,126,18,579,78
201711070000000832005.jpg,126,15,579,78
201711070000000835005.jpg,166,23,318,71
201711070000000835005.jpg,679,25,811,76
201711070000000836001.jpg,110,20,362,73
201711070000000837005.jpg,123,15,345,75
201711070000000838005.jpg,123,30,602,80
201711070000000839005.jpg,123,20,581,75
201711070000000840005.jpg,150,23,275,73
201711070000000841005.jpg,130,20,404,71
201711070000000842005.jpg,130,25,278,73
201711070000000843005.jpg,131,11,487,71
201711070000000844005.jpg,146,18,275,70
201711070000000845005.jpg,131,15,724,75
201711070000000846005.jpg,126,11,751,75
201711070000000848005.jpg,128,18,512,73
201711070000000849005.jpg,130,21,444,66
201711070000000850005.jpg,125,18,465,73
201711070000000851005.jpg,612,26,666,80
201711070000000851005.jpg,126,11,472,71
201711070000000852005.jpg,123,23,516,76
201711070000000853005.jpg,148,20,272,71
201711070000000853005.jpg,657,18,773,60
201711070000000854005.jpg,123,11,554,73
201711070000000855005.jpg,148,21,577,75
201711070000000856005.jpg,155,20,293,66
201711070000000857005.jpg,135,31,312,63
201711070000000858005.jpg,131,20,293,75
201711070000000859005.jpg,130,31,317,65
201711070000000860005.jpg,126,31,310,63
201711070000000861005.jpg,125,13,345,66
201711070000000863005.jpg,130,23,594,78
201711070000000864005.jpg,150,11,379,56
201711070000000865005.jpg,130,16,576,75
201711070000000866005.jpg,130,16,313,76
201711070000000867005.jpg,146,18,494,75
201711070000000868005.jpg,135,23,399,75
201711070000000869005.jpg,126,13,516,73
201711070000000870005.jpg,131,21,380,66
201711070000000873005.jpg,133,23,250,73
201711070000000874005.jpg,108,25,472,76
201711070000000875005.jpg,111,20,484,75
201711070000000876005.jpg,123,18,429,73
201711070000000877005.jpg,110,21,359,75
201711070000000878005.jpg,123,13,367,73
201711070000000880005.jpg,128,20,450,71
201711070000000882005.jpg,131,16,357,66
201711070000000883005.jpg,123,13,367,70
201711070000000885001.jpg,108,26,322,80
